Site Name,State or Territory,Branch and Status
NSA Panama City,Florida,Navy Active
NAS Jacksonville,Florida,Navy Active
NAS Pensacola,Florida,Navy Active
Fort Sheridan,Illinois,Navy Active
NAS Meridian,Mississippi,Navy Active
NAS Key West Peary Court,Florida,Navy Active
NAS Key West Dredgers Key-Sigsbee,Florida,Navy Active
NAS Key West Fleming Key Magazine,Florida,Navy Active
NAS Key West,Florida,Navy Active
Naval Hospital Key West,Florida,Navy Active
NAS Key West Truman Annex,Florida,Navy Active
NAS Jacksonville - Yellow Water Housing,Florida,Navy Active
NAS Key West Trumbo Point Annex,Florida,Navy Active
NWS Charleston Short Stay,South Carolina,Navy Active
NWS Charleston,South Carolina,Navy Active
NSA Athens,Georgia,Navy Active
Dobbins AFB,Georgia,Navy Active
NAS Atlanta,Georgia,Navy Active
Saufley Field,Florida,Navy Active
Kansas AAP,Kansas,Army Active
Smoky Hill ANG Range,Kansas,AF Guard
Fort McCoy,Wisconsin,Army Reserve
Fort Gordon,Georgia,Army Active
Fort Hood,Texas,Army Active
Fort Benning GA,Georgia,Army Active
Fort Benning AL,Alabama,Army Active
Fort Bragg,North Carolina,Army Active
Fort Jackson,South Carolina,Army Active
Fort Knox,Kentucky,Army Active
Fort Leavenworth,Kansas,Army Active
Charles E Kelly Support Facility,Pennsylvania,Army Active
Hunter Army Airfield,Georgia,Army Active
Fort Leonard Wood,Missouri,Army Active
Fort McPherson,Georgia,Army Active
Fort Gillem,Georgia,Army Active
Mississippi AAP,Mississippi,Army Active
Radford AAP,Virginia,Army Active
Lake City AAP,Missouri,Army Active
Milan AAP,Tennessee,Army Active
Lone Star AAP,Texas,Army Active
McAlester AAP,Oklahoma,Army Active
Charleston AFB,South Carolina,AF Active
Charleston Defense Fuel Support Point,South Carolina,AF Active
Holston AAP,Tennessee,Army Active
Redstone Arsenal,Alabama,Army Active
Pope AFB Munitions Storage Area,North Carolina,AF Active
Pine Bluff Arsenal,Arkansas,Army Active
Red River Army Depot,Texas,Army Active
Anniston Army Depot,Alabama,Army Active
K I Sawyer AFB,Michigan,AF Active
Camp Mackall,North Carolina,Army Active
Fort Campbell KY,Kentucky,Army Active
Fort Polk,Louisiana,Army Active
Fort Riley,Kansas,Army Active
Blue Grass Army Depot,Kentucky,Army Active
Detroit Arsenal,Michigan,Army Active
Rickenbacker IAP (ANG),Ohio,AF Guard
Camp Bullis,Texas,Army Active
Fort Sam Houston,Texas,Army Active
Fort Sill,Oklahoma,Army Active
Fort Stewart,Georgia,Army Active
Cornhusker AAP,Nebraska,Army Active
St Louis AFS,Missouri,AF Active
Scott AFB,Illinois,AF Active
Rock Island Arsenal,Illinois,Army Active
Volk ANGB,Wisconsin,AF Guard
VTS Catoosa,Georgia,Army Guard
Longhorn AAP,Texas,Army Active
Defense Supply Center Columbus,Ohio,Army Active
"Camp Frank D. Merrill, Dahlonega",Georgia,Army Active
Ravenna Training and Log Site,Ohio,Army Guard
CTA Camp McCain,Mississippi,Army Guard
MTA Camp Crowder Neosho,Missouri,Army Guard
Laughlin AFB,Texas,AF Active
Camp Swift,Texas,Army Guard
Camp Atterbury,Indiana,Army Guard
CTC Fort Custer Trng Center,Michigan,Army Guard
Camp Gruber,Oklahoma,Army Guard
Fort McClellan ARNG Training Center,Alabama,Army Guard
Avon Park AF Range,Florida,AF Active
Offutt AFB,Nebraska,AF Active
Dyess AFB,Texas,AF Active
Myrtle Beach AFB,South Carolina,AF Active
Offutt Communications Annex #2 Globecom,Nebraska,AF Active
Arbuckle Airfield,Florida,AF Active
Shaw AFB,South Carolina,AF Active
Moody AFB,Georgia,AF Active
Columbus AFB,Mississippi,AF Active
Altus AFB,Oklahoma,AF Active
Vance AFB,Oklahoma,AF Active
Goodfellow AFB,Texas,AF Active
Randolph AFB,Texas,AF Active
Kelly Field Annex,Texas,AF Active
Lackland Training Annex,Texas,AF Active
Sheppard AFB,Texas,AF Active
Tyndall AFB,Florida,AF Active
Maxwell AFB,Alabama,AF Active
Eglin AFB Auxiliary Field #6,Florida,AF Active
Maxwell AFB Gunter Annex,Alabama,AF Active
Little Rock AFB,Arkansas,AF Active
Eglin AFB,Florida,AF Active
Hurlburt Field,Florida,AF Active
Fort Wayne IAP,Indiana,AF Guard
Keesler AFB,Mississippi,AF Active
Lackland AFB,Texas,AF Active
Cavalier AS,North Dakota,AF Active
Yeager Airport,West Virginia,AF Guard
Gen Mitchell IAP,Wisconsin,AF Guard
Hulman Fld,Indiana,AF Guard
Barksdale AFB,Louisiana,AF Active
Defense Fuel Support Point,North Dakota,AF Active
Grand Forks AFB,North Dakota,AF Active
Forbes Field (ANG),Kansas,AF Guard
MacDill AFB,Florida,AF Active
McConnell AFB,Kansas,AF Active
Hunley Park Military FH,South Carolina,AF Active
North Air Force Auxiliary Field,South Carolina,AF Active
Pope AFB Site # 1,North Carolina,AF Active
Wright-Patterson AFB,Ohio,AF Active
Robins AFB,Georgia,AF Active
Arnold AS,Tennessee,AF Active
Des Moines IAP,Iowa,AF Guard
Tinker AFB,Oklahoma,AF Active
Tinker Support Annex,Oklahoma,AF Active
McEntire Joint NGB,South Carolina,AF Guard
Selfridge ANGB,Michigan,AF Guard
Truax ANGB,Wisconsin,AF Guard
Rosecrans MAP (139AG),Missouri,AF Guard
Sioux Gateway Apt/Col Bud Day Field (ANG),Iowa,AF Guard
Tulsa IAP,Oklahoma,AF Guard
Hector IAP,North Dakota,AF Guard
"Jackson IAP, Thompson Field",Mississippi,AF Guard
Joe Foss Field,South Dakota,AF Guard
Lincoln MAP,Nebraska,AF Guard
Niagara Falls,New York,AF Reserve
Youngstown Joint ARS,Ohio,AF Reserve
Gulfport-Biloxi Regional Airport (ANG),Mississippi,AF Guard
Cape Canaveral AFS,Florida,AF Active
Patrick AFB,Florida,AF Active
Malabar Transmitter Annex,Florida,AF Active
Minneapolis-St Paul,Minnesota,AF Reserve
Whiteman AFB,Missouri,AF Active
Dobbins ARB,Georgia,AF Reserve
Grissom ARB,Indiana,AF Reserve
Homestead ARB,Florida,AF Reserve
Fort Wolters,Texas,Army Guard
Fort Chaffee MTC,Arkansas,Army Guard
NG Greenlief TS/UTES 01,Nebraska,Army Guard
Camp Ashland,Nebraska,Army Guard
NG Mead TS/FMS 06/UTES 02,Nebraska,Army Guard
Eglin AFB Auxiliary Field #3,Florida,AF Active
NS Great Lakes,Illinois,Navy Active
Hardwood Weapons Range (ANG),Wisconsin,AF Guard
Birmingham Airport,Alabama,AF Guard
Brooks AFB,Texas,AF Active
Springfield Beckley MAP,Ohio,AF Guard
Duluth IAP,Minnesota,AF Guard
Grissom AFB,Indiana,AF Active
Kelly AFB,Texas,AF Active
Mansfield Lahm MAP,Ohio,AF Guard
Jacksonville IAP,Florida,AF Guard
Charlotte/Douglas IAP,North Carolina,AF Guard
Goldberg Stagefield,Alabama,Army Active
Stinson (5AB) Stagefield,Alabama,Army Active
Fort Rucker,Alabama,Army Active
Stanly County Airport,North Carolina,AF Guard
Hunt Stagefield,Alabama,Army Active
Brown (4B) Stagefield,Alabama,Army Active
Runkle Stagefield,Alabama,Army Active
Skelly Stagefield,Alabama,Army Active
