Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Stuart (NE),"Stuart, NE",NE,68780,Stuart Municipal Water & Power,"Petro-fired Power Plant (1.9 MW of operating capacity, 0 MW of planned capacity, and 0.15 MW of retired capacity)",1.9,1.9,1.9,0,0.15,4,0,1,Petro,,42,0.25,Stuart (NE),,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Emerson,"Emerson, NE",NE,68733,Emerson NE (City of),"Gas-fired Power Plant (1.6 MW of operating capacity, 0 MW of planned capacity, and 2.1 MW of retired capacity)",1.6,1.6,1.6,0,2.1,3,0,2,Gas,Petro,7,0.05,Emerson,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Laredo Ridge Wind,"Raeville, NE",NE,68652,Laredo Ridge Wind LLC,"Renewable Energy Power Plant (81 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",81,81,81,0,0,1,0,0,Renew,,0,0,Laredo Ridge Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,2010
Laurel (NE),"Laurel, NE",NE,68745,Laurel Municipal Electric Dept,"Gas-fired Power Plant (4.7 MW of operating capacity, 0 MW of planned capacity, and 0.3 MW of retired capacity)",4.7,3.9,4.4,0,0.3,6,0,1,Gas,,149,0.44,Laurel (NE),,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Lyons,"Lyons, NE",NE,68038,Nebraska Public Power District,"Petro-fired Power Plant (2.5 MW of operating capacity, 0 MW of planned capacity, and 1.8 MW of retired capacity)",2.5,1.1,1.1,0,1.8,3,0,3,Petro,,8,0.08,Lyons,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Madison (NE),"Madison, NE",NE,68748,Nebraska Public Power District,"Gas-fired Power Plant (5.3 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.3,4,4,0,0,4,0,0,Gas,Petro,0,0,Madison (NE),,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Mullen,"Mullen, NE",NE,69152,Mullen NE (Village of),"Petro-fired Power Plant (1 MW of operating capacity, 0 MW of planned capacity, and 0.398 MW of retired capacity)",1,0.9,0.9,0,0.398,2,0,2,Petro,,8,0.1,Mullen,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
NPPD Ainsworth Wind,"Ainsworth, NE",NE,69210,Nebraska Public Power District,"Renewable Energy Power Plant (59.4 MW of operating capacity, 15 MW of planned capacity, and 0 MW of retired capacity)",59.4,59.4,59.4,15,0,1,1,0,Renew,,187190,35.97,NPPD Ainsworth Wind,,0,221119,Other Electric Power Generation,491,Aerial Imagery,12/2003
Pender,"Pender, NE",NE,68047,Pender NE (City of),"Gas-fired Power Plant (5.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.1,4.7,4.7,0,0,5,0,0,Gas,,6,0.01,Pender,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Plainview Municipal Power,"Plainview, NE",NE,68769,Plainview NE (City of),"Petro-fired Power Plant (5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5,5,5,0,0,4,0,0,Petro,,45,0.1,Plainview Municipal Power,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Prairie Breeze Wind,"Petersburg, NE",NE,68652,Prairie Breeze Wind Energy LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 200 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,200,0,0,1,0,Renew,,0,0,Prairie Breeze Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,07/2009
Rattlesnake Creek Wind,"Allen, NE",NE,68710,TradeWind Energy,"Renewable Energy Power Plant (0 MW of operating capacity, 200 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,200,0,0,1,0,Renew,,0,0,Rattlesnake Creek Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,09/2010
TPW Wind,"Raeville, NE",NE,68620,TPW Petersburg LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 40.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,40.5,0,0,1,0,Renew,,0,0,TPW Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,02/2011
Wakefield,"Wakefield, NE",NE,68784,Wakefield NE (City of),"Gas-fired Power Plant (4.1 MW of operating capacity, 0 MW of planned capacity, and 0.2 MW of retired capacity)",4.1,3.2,3.2,0,0.2,4,0,1,Gas,,77,0.27,Wakefield,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Way Wind Farm,"Winside, NE",NE,68790,Way Wind LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 120 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,120,0,0,1,0,Renew,,0,0,Way Wind Farm,,0,221119,Other Electric Power Generation,491,Ventyx Research,06/2011
Wayne (NE),"Wayne, NE",NE,68787,Wayne Electric Utility,"Petro-fired Power Plant (21.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",21.8,19.9,19.9,0,0,8,0,0,Petro,,422,0.24,Wayne (NE),,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,na
West Point Municipal,"West Point, NE",NE,68788,West Point NE (City of),"Gas-fired Power Plant (8.5 MW of operating capacity, 0 MW of planned capacity, and 0.5 MW of retired capacity)",8.5,8.5,8.5,0,0.5,4,0,1,Gas,,55,0.07,West Point Municipal,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Wisner,"Wisner, NE",NE,68791,Wisner NE (City of),"Petro-fired Power Plant (4.4 MW of operating capacity, 0 MW of planned capacity, and 1 MW of retired capacity)",4.4,4.4,4.4,0,1,3,0,2,Petro,,14,0.04,Wisner,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Adm Columbus Cogeneration,"Richland, NE",NE,68601,Archer Daniels Midland Co,"Power Plant (71.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",71.4,61,61,0,0,1,0,0,Other,,0,0,Adm Columbus Cogeneration,,0,221119,Other Electric Power Generation,491,Ventyx Research,07/2010
Ansley,"Ansley, NE",NE,68814,Ansley NE (City of),"Gas-fired Power Plant (1.5 MW of operating capacity, 0 MW of planned capacity, and 0.245 MW of retired capacity)",1.5,1.3,1.3,0,0.245,2,0,1,Gas,Petro,17,0.15,Ansley,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Arnold,"Arnold, NE",NE,69120,Arnold NE (Village of),"Petro-fired Power Plant (1.3 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.3,1.1,1.1,0,0,5,0,0,Petro,,12,0.12,Arnold,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Broken Bow (NE),"Broken Bow, NE",NE,68822,Broken Bow Municipal Utilities,"Gas-fired Power Plant (8.7 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",8.7,8.4,8.4,0,0,6,0,0,Gas,Petro,230,0.31,Broken Bow (NE),,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Broken Bow Wind,"Weissert, NE",NE,68822,Broken Bow Wind LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 81 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,81,0,0,1,0,Renew,,0,0,Broken Bow Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,01/2010
Burwell,"Burwell, NE",NE,68823,Burwell Municipal Utilities,"Petro-fired Power Plant (3.9 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3.9,4.1,4.1,0,0,4,0,0,Petro,,31,0.09,Burwell,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Callaway (NE),"Callaway, NE",NE,68825,Callaway NE (Village of),"Petro-fired Power Plant (0.9 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.9,0.9,0.9,0,0,3,0,0,Petro,,0,0,Callaway (NE),,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Columbus (NE),"Columbus, NE",NE,68601,Nebraska Public Power District,"Hydroelectric Power Plant (39.9 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",39.9,45,45,0,0,3,0,0,Water,,149281,37.87,Columbus (NE),,1,221111,Hydroelectric Power Generation,491,Aerial Imagery,01/2000
David City,"David City, NE",NE,68632,David City NE (City of),"Petro-fired Power Plant (10.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",10.6,8.7,8.7,0,0,7,0,0,Petro,Gas,240,0.31,David City,,0,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,01/2000
Elk City (NE),"Elk City, NE",NE,68022,Omaha Public Power District,"Renewable Energy Power Plant (6.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6.4,6.4,6.4,0,0,8,0,0,Renew,,47449,84.63,Elk City (NE),,0,221119,Other Electric Power Generation,491,Street Address,09/2000
Fort Calhoun,"Blair, NE",NE,68008,Omaha Public Power District,"Nuclear Power Plant (502 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",502,478,478,0,0,1,0,0,Nuc,,3700560,88.38,Fort Calhoun (3451/1251),,1,221113,Nuclear Electric Power Generation,491,Aerial Imagery,na
Fremont 1,"Fremont, NE",NE,68025,Fremont Dept of Public Utilities,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 23 MW of retired capacity)",0,0,0,0,23,0,0,5,Coal,,0,0,Fremont 1,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Lon Wright,"Fremont, NE",NE,68025,Fremont Dept of Public Utilities,"Coal-fired Power Plant (170 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",170,160,160,0,0,4,0,0,Coal,Gas,340257,24.28,Lon Wright (Fremont 2),,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Madison Utilities,"Madison, NE",NE,68748,Madison NE (City of),"Petro-fired Power Plant (5.8 MW of operating capacity, 0 MW of planned capacity, and 0.6 MW of retired capacity)",5.8,4.6,4.6,0,0.6,4,0,1,Petro,,75,0.19,Madison Utilities,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Missouri River Wastewater,"Omaha, NE",NE,68107,Omaha (City of),"Renewable Energy Power Plant (3 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3,3,3,0,0,3,0,0,Renew,,14414,54.85,Missouri River Wastewater,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Monroe (NE),"Monroe, NE",NE,68647,Nebraska Public Power District,"Hydroelectric Power Plant (8.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",8.4,8.4,8.4,0,0,3,0,0,Water,,30040,40.82,Monroe (NE),,0,221111,Hydroelectric Power Generation,491,USGS Geographic Names Information System,na
North Omaha,"Carter Lake, IA",NE,68112,Omaha Public Power District,"Coal-fired Power Plant (644.7 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",644.7,646.3,534.4,0,0,5,0,0,Coal,,3038950,53.68,Sub 1211,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Ord,"Ord, NE",NE,68862,Ord NE (City of),"Petro-fired Power Plant (12 MW of operating capacity, 0 MW of planned capacity, and 2.215 MW of retired capacity)",12,10.8,10.8,0,2.215,5,0,2,Petro,,358,0.38,Ord,,0,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,06/2001
Sargent,"Sargent, NE",NE,68874,Sargent NE (City of),"Petro-fired Power Plant (2.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2.4,2.4,2.4,0,0,3,0,0,Petro,,19,0.09,Sargent,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Schuyler Plant,"Schuyler, NE",NE,68661,Nebraska Public Power District,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 9.5 MW of retired capacity)",0,0,0,0,9.5,0,0,4,Gas,,0,0,Schuyler Plant,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Spalding,"Spalding, NE",NE,68665,Spalding NE (City of),"Petro-fired Power Plant (2.1 MW of operating capacity, 0 MW of planned capacity, and 0.1 MW of retired capacity)",2.1,2.07,2.1,0,0.1,5,0,1,Petro,,24,0.13,Spalding,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Wahoo,"Wahoo, NE",NE,68066,Wahoo NE (City of),"Gas-fired Power Plant (14.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",14.2,13.6,13.6,0,0,6,0,0,Gas,Petro,365,0.31,Wahoo,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,01/2000
Westroads Shopping Center,"Boys Town, NE",NE,68114,General Growth Properties,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 4.6 MW of retired capacity)",0,0,0,0,4.6,0,0,4,Gas,,0,0,Westroads Shopping Center,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Alliance,"Alliance, NE",NE,69301,Alliance NE (City of),"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 16.5 MW of retired capacity)",0,0,0,0,16.5,0,0,4,Gas,,0,0,Alliance,,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,na
Western Sugar Co Bayard,"Bayard, NE",NE,69334,Western Sugar Coop,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 1.5 MW of retired capacity)",0,0,0,0,1.5,0,0,1,Gas,,0,0,Western Sugar Co Bayard,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Wildcat Ridge Wind,"Harrisburg, NE",NE,69345,Midwest Wind Energy,"Renewable Energy Power Plant (0 MW of operating capacity, 1500 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,1500,0,0,3,0,Renew,,0,0,Wildcat Ridge Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,01/2008
Coble & Sons Wind Farm,"Whitman, NE",NE,69218,Glen Coble & Sons Inc,"Renewable Energy Power Plant (0.012 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.012,0.012,0.012,0,0,1,0,0,Renew,,0,0,Coble & Sons Wind Farm,,0,221119,Other Electric Power Generation,491,Street Address,01/2008
Gordon (NE),"Gordon, NE",NE,69343,Nebraska Public Power District,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 2 MW of retired capacity)",0,0,0,0,2,0,0,2,Petro,,0,0,Gordon (NE),,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,na
Kingsley,"Keystone, NE",NE,69144,Central Nebraska Public Power & Irrigation District,"Hydroelectric Power Plant (50 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",50,38,38,0,0,1,0,0,Water,,20547,6.17,Kingsley,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Angus Anson,"Brandon, SD",SD,57005,Northern States Power Co (Minnesota),"Gas-fired Power Plant (405 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",405,383.93,436,0,0,3,0,0,Gas,,15075,0.45,Split Rock,Sioux Falls,2,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Chamberlain,"Chamberlain, SD",SD,57569,Basin Electric Power Coop,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 2.465 MW of retired capacity)",0,0,0,0,2.465,0,0,2,Petro,,0,0,Chamberlain,,2,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Chamberlain Wind Project,"Chamberlain, SD",SD,57325,Basin Electric Power Coop,"Renewable Energy Power Plant (2.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2.6,2.6,2.6,0,0,2,0,0,Renew,,5183,22.76,Chamberlain Wind Project,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Gregory,"Gregory, SD",SD,57533,Rosebud Electric Coop Inc,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 0.87 MW of retired capacity)",0,0,0,0,0.87,0,0,2,Petro,,0,0,Gregory,,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,na
Minnehaha West Project,"Montrose, SD",SD,57042,Iberdrola Renewables Inc,"Renewable Energy Power Plant (0 MW of operating capacity, 350 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,350,0,0,1,0,Renew,,0,0,Minnehaha West Project,,0,221119,Other Electric Power Generation,491,Ventyx Research,07/2010
Pathfinder,"Brandon, SD",SD,57005,Northern States Power Co (Minnesota),"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 75 MW of retired capacity)",0,0,0,0,75,0,0,1,Gas,,0,0,Pathfinder,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,10/1995
White River (SD),"White River, SD",SD,57579,R V Light & Power Co,"Hydroelectric Power Plant (0.25 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.25,0.25,0.25,0,0,1,0,0,Water,,0,0,White River (SD),,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Fort Randall,"Pickstown, SD",SD,57356,USACE Omaha District,"Hydroelectric Power Plant (320 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",320,360,360,0,0,8,0,0,Water,,1330500,42.19,Fort Randall,,1,221111,Hydroelectric Power Generation,491,Aerial Imagery,01/2000
Hyperion Energy Center (SD),"Spink, SD",SD,57025,Hyperion Energy LP,"Coal-fired Power Plant (0 MW of operating capacity, 200 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,200,0,0,1,0,Coal,,0,0,Hyperion Energy Center (SD),,0,221112,Fossil Fuel Electric Power Generation,491,Company Maps; Ventyx Research,05/2009
Owl Feather War Bonnet Wind Farm,"Saint Francis, SD",SD,57572,Rosebud Sioux Commission,"Renewable Energy Power Plant (0 MW of operating capacity, 190 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,190,0,0,1,0,Renew,,0,0,Owl Feather War Bonnet Wind Farm,,0,221119,Other Electric Power Generation,491,Company Maps; Ventyx Research,Unknown
Rosebud Sioux Wind Farm,"Olsonville, SD",SD,57555,Rosebud Sioux Commission,"Renewable Energy Power Plant (0.75 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.75,0.75,0.75,0,0,1,0,0,Renew,,0,0,Rosebud Sioux Wind Farm,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Spirit Mound,"Meckling, SD",SD,57069,Basin Electric Power Coop,"Petro-fired Power Plant (135 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",135,100,120,0,0,2,0,0,Petro,,304,0.03,Spirit Mound,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,10/1995
Yankton,"Utica, SD",SD,57067,NorthWestern Corp,"Gas-fired Power Plant (13.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",13.4,13.5,13.5,0,0,4,0,0,Gas,,-2,0,Yankton,,0,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,10/1995
Ben French,"Rapid City, SD",SD,57702,Black Hills Power Inc,"Gas-fired Power Plant (135 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",135,99.6,131.6,0,0,10,0,0,Gas,Coal,159739,18.31,Ben French,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Kirk (SD),"Lead, SD",SD,57754,Black Hills Power Inc,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 31.5 MW of retired capacity)",0,0,0,0,31.5,0,0,4,Coal,,0,0,Kirk (SD),,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,na
Lange Gas Turbines,"Rapid City, SD",SD,57702,Black Hills Power Inc,"Gas-fired Power Plant (40 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",40,34,39.2,0,0,1,0,0,Gas,,14621,4.91,Lange Gas Turbines,,0,221112,Fossil Fuel Electric Power Generation,491,Previously Mapped Feature,na
