Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Western Massachusetts Electric Co,IOU,Regulated,New England ISO,Northeast Utilities Service Co,Northeast Utilities,749,641,0,0,0,Regional Maps; Ventyx Research,Unknown
Plattsburgh NY (City of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Plattsburgh NY (City of),51,114,0,0,0,Previously Mapped Features; Ventyx Research,na
Delaware County Electric Coop Inc,DistCoop,Regulated,New York ISO,New York Independent System Operator Inc,Delaware County Electric Coop Inc,8,13,1.1,1.1,0,Ventyx Research,na
Green Island Power Authority,Muni,Regulated,New York ISO,New York Independent System Operator Inc,Green Island NY (Village of),6,6,0,0,41525,Previously Mapped Features; Ventyx Research,na
Bergen Municipal Electric,Muni,Regulated,New York ISO,New York Power Authority,Bergen Municipal Electric,10,4,0,0,0,Previously Mapped Features; Ventyx Research,na
Brocton NY (City of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Brocton NY (City of),2,2,0,0,0,Previously Mapped Features; Ventyx Research,na
Castile Municipal Electric System,Muni,Regulated,New York ISO,New York Independent System Operator Inc,Castile Municipal Electric System,1,2,0,0,0,Previously Mapped Features; Ventyx Research,na
Solvay Electric Dept,Muni,Regulated,New York ISO,New York Independent System Operator Inc,Solvay Electric Dept,80,88,18,18.6,0,Previously Mapped Features; Ventyx Research,na
Teresa NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Teresa NY (Village of),1,2,0,0,0,Previously Mapped Features; Ventyx Research,na
Northwood ND (City of),Muni,Regulated,Northern States Power,Midwest Reliability Organization,Northwood ND (City of),3,5,0,0,0,Previously Mapped Features; Ventyx Research,na
Oneida Madison Electric Coop Inc,DistCoop,Regulated,New York ISO,New York Independent System Operator Inc,Oneida Madison Electric Coop Inc,4,5,0,0,0,Regional Maps; Ventyx Research,na
Mayville NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Mayville NY (Village of),4,7,0,0,0,Previously Mapped Features; Ventyx Research,na
Salamanca NY (City of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Salamanca NY (City of),15,27,0,0,0,Previously Mapped Features; Ventyx Research,na
Wellsville Water & Light Dept,Muni,Regulated,New York ISO,New York Independent System Operator Inc,Wellsville Water & Light Dept,10,13,0,0,0,Previously Mapped Features; Ventyx Research,na
Otsego Electric Coop Inc,DistCoop,Regulated,New York ISO,New York Independent System Operator Inc,Otsego Electric Coop Inc,8,12,0,0,0,Regional Maps; Ventyx Research,na
Tupper Lake NY (Village of),Muni,Regulated,New York ISO,New York Power Authority,Tupper Lake NY (Village of),13,23,0,0,0,Previously Mapped Features; Ventyx Research,na
Public Service Electric & Gas Co,IOU,Regulated,PJM Interconnection,PJM Interconnection,Public Service Enterprise Group Inc,9687,6848,0,0,0,Regional Maps; Ventyx Research,1999
Jamestown Board of Public Utilities,Muni,Regulated,New York ISO,New York Independent System Operator Inc,Jamestown Board of Public Utilities,79,98,81.4,90.6,72418,Previously Mapped Features; Ventyx Research,na
