Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
McKinley Wind Park,In Service,14,Pigeon MI,Detroit Edison,Detroit Edison,Detroit Edison,GE Energy,9,2012,3,7 - 7.5,7 - 7.5,
McKinney Wal-Mart,In Service,0.05,McKinney TX,Wal-Mart,Bergey Windpower,Wal-Mart,Bergey Windpower,1,2005,1,6.5 - 7,6.5 - 7,
McNeilus,In Service,9.9,Mower County MN,G. McNeilus,G. McNeilus,Xcel Energy,NEG Micon,6,2004,4,8 - 8.5,8 - 8.5,
Meadow Creek,In Service,119.7,Idaho Falls ID,Ridgeline Energy,Ridgeline Energy,PacifiCorp (Rocky Mountain Power),Suzlon Energy Company,57,2012,3,6.5 - 7,7 - 7.5,
Meadow Lake II,In Service,91.5,Brookston IN,Horizon Wind Energy,EDP Renewables,,Acciona,61,2010,2,6.5 - 7,7 - 7.5,
Meadow Lake II (3Q10),In Service,7.5,Brookston IN,Horizon Wind Energy,EDP Renewables,,Acciona,5,2010,2,6.5 - 7,7 - 7.5,
Meadow Lake III,In Service,103.5,Brookston IN,Horizon Wind Energy,EDP Renewables,,GE Energy,69,2010,2,6.5 - 7,7 - 7.5,
Meadow Lake IV,In Service,98.7,Brookston IN,Horizon Wind Energy,EDP Renewables,,Suzlon Energy Company,47,2010,2,6.5 - 7,7 - 7.5,
Meadow Lake Wind Farm,In Service,200,Brookston IN,Horizon Wind Energy,EDP Renewables,,Vestas,121,2009,2,6.5 - 7,7 - 7.5,
Meadow Ridge,In Service,1.6,Greenfield IA,Meadow Ridge Wind Energy LLC (community owned),,Central Iowa Power Cooperative,GE Energy,1,2012,4,8 - 8.5,8 - 8.5,
Medicine Bow,In Service,3.3,Medicine Bow WY,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Vestas,5,1999,6,9.5 - 10,10 - 13.63,
Medicine Bow,In Service,1.32,Medicine Bow WY,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Vestas,2,2000,6,9.5 - 10,10 - 13.63,
Medicine Bow,In Service,0.07,Medicine Bow WY,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Nordtank,1,1996,6,9.5 - 10,10 - 13.63,
Medicine Bow,In Service,1.2,Medicine Bow WY,Platte River Power Authority,Northern Alternative Energy,Platte River Power Authority,Vestas,2,1998,6,9.5 - 10,10 - 13.63,
Mehoopany,In Service,140.8,WY County PA,BP Wind Energy / Sempra Energy,BP Wind Energy,ODEC / SMECO,GE Energy,88,2012,3,4.5 - 5,5 - 5.5,
Mendota Hills,In Service,50.4,Near Paw Paw IL,GE Energy,Navitas Energy,Exelon,Gamesa,63,2003,3,7 - 7.5,7.5 - 8,
Meridian Trust,In Service,0.15,San Gorgonio CA,NextEra Energy Resources,Kenetech Windpower,Southern California Edison Co,Bonus,1,0,4,8 - 8.5,8 - 8.5,
Meridian Trust,In Service,7.4,San Gorgonio CA,NextEra Energy Resources,Kenetech Windpower,Southern California Edison Co,Kenetech,74,0,4,8 - 8.5,8 - 8.5,
Meridian Way II,In Service,96,Cloud County KS,Horizon Wind Energy,Horizon Wind Energy,Westar Energy/Empire District Electric,Vestas,32,2008,5,8.5 - 9,8.5 - 9,
Meridian Way,In Service,105,Cloud County KS,Horizon Wind Energy,Horizon Wind Energy,Westar Energy/Empire District Electric,Vestas,35,2008,5,8.5 - 9,8.5 - 9,
Mesalands Community College,In Service,1.5,Tucumcari NM,Mesalands Community College,Mesalands Community College,Mesalands Community College,GE Energy,1,2008,3,7.5 - 8,7.5 - 8,
Metro Wind LLC,In Service,0.66,Elk River - Sherbourne County MN,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Vestas,1,2001,3,6 - 6.5,6.5 - 7,
Meyersdale,In Service,30,Somerset County PA,NextEra Energy Resources,Atlantic Renewable Energy,FirstEnergy,NEG Micon,20,2003,5,6 - 6.5,6.5 - 7,
Michigan Offshore Wind Pilot Project,Proposed,0.6,Muskegon Lake MI,Mighigan Alternative and Renewable Energy Center,Mighigan Alternative and Renewable Energy Center,,,1,0,4,6.5 - 7,7 - 7.5,
Michigan Wind I,In Service,69,Huron County MI,John Deere Wind,Noble Environmental Power,Consumers Energy,GE Energy,46,2008,2,6.5 - 7,7 - 7.5,
Michigan Wind II Wind Farm,In Service,90,Minden City MI,Exelon Wind,Exelon Wind,Consumers Energy,Vestas,50,2011,3,7 - 7.5,7 - 7.5,
Midwest Underground Technology,In Service,0.1,Champaign IL,Midwest Underground Technology,,Midwest Underground Technology,Northern Power Systems,1,2010,3,6.5 - 7,7 - 7.5,
Milford Wind Corridor Phase I (Clipper),In Service,145,Milford UT,First Wind,First Wind,Southern California Public Power Authority,Clipper,58,2009,3,6.5 - 7,6.5 - 7,
Milford Wind Corridor Phase I (GE Energy),In Service,58.5,Milford UT,First Wind,First Wind,Southern California Public Power Authority,GE Energy,39,2009,3,6.5 - 7,6.5 - 7,
Milford Wind Corridor Phase II,In Service,102,Millard and Beaver County UT,First Wind,First Wind,Southern California Public Power Authority,GE Energy,68,2011,3,6.5 - 7,7 - 7.5,
Mill Run Wind Power Project,In Service,15,Mill Run PA,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,GE Energy,10,2001,3,5 - 5.5,5.5 - 6,
Milner Dam Wind Park,In Service,19.5,Cassia County ID,Exergy,Exergy,Idaho Power,GE Energy,13,2010,2,5.5 - 6,5.5 - 6,
MinWind I & II,In Service,3.8,Rock County MN,'Farmer's Cooperative,Farmer's Cooperative with Dan Juhl,Alliant Energy,NEG Micon,4,2002,4,7.5 - 8,8 - 8.5,
MinWind III-IX,In Service,11.55,Near Luverne MN,,,Xcel Energy,NEG Micon,7,2004,3,7.5 - 8,8 - 8.5,
Minco II Wind Energy Center,In Service,100.8,South of Minco OK,NextEra Energy Resources,NextEra Energy Resources,Google Energy,GE Energy,63,2011,3,7.5 - 8,8 - 8.5,
Minco III,In Service,100.8,Minco OK,NextEra Energy Resources,NextEra Energy Resources,Golden Spread Electric Cooperative,GE Energy,63,2012,3,7.5 - 8,7.5 - 8,
Minco Wind Energy Center,In Service,99.2,South of Minco OK,NextEra Energy Resources,NextEra Energy Resources,Public Service Company of Oklahoma,,62,2010,4,8 - 8.5,8 - 8.5,
Minden Wind Park,In Service,25,Minden City MI,Detroit Edison,Detroit Edison,Detroit Edison,GE Energy,16,2012,2,6.5 - 7,7 - 7.5,
Minn-Dakota Wind Farm,In Service,54,Lincoln County SD,PPM Energy Inc,PPM Energy Inc,Xcel Energy,GE Energy,36,2007,5,8.5 - 9,9 - 9.5,
Minn-Dakota Wind Farm,In Service,96,Lincoln County MN,Iberdrola Renewables,PPM Energy Inc,Xcel Energy,GE Energy,64,2007,5,8.5 - 9,9 - 9.5,
Minnesota Wind Share,In Service,5.4,Lake Wilson MN,Various,Project Resources Corp.,Xcel Energy,Suzlon Energy Company,3,2006,4,8 - 8.5,8.5 - 9,
Minnkota Power Cooperative Wind Turbine (Petersburg),In Service,0.9,East of Petersburg ND,Minnkota Power Cooperative,Minnkota Power Cooperative,Minnkota Power Cooperative,NEG Micon,1,2002,4,8 - 8.5,8.5 - 9,
Minnkota Power Cooperative Wind Turbine (Valley City),In Service,0.9,East of Valley City - Oriska Hills ND,Minnkota Power Cooperative,Minnkota Power Cooperative,Minnkota Power Cooperative,NEG Micon,1,2001,4,8 - 8.5,8.5 - 9,
Minonk,In Service,200,Minonk IL,Algonquin Power,Gamesa,Merchant,Gamesa,100,2012,3,7 - 7.5,7.5 - 8,
Minot Wind 2,In Service,4.5,South of Minot ND,Prairie Winds ND 1,Basin Electric,Basin Electric,GE Energy,3,2009,5,8.5 - 9,8.5 - 9,
Missouri River Energy Services (MRES),In Service,3.6,Worthington - Nobles County MN,Missouri River Energy Services (MRES),Missouri River Energy Services (MRES) with Tom Wind,MRES/ Worthington Public Utilities,NEG Micon,4,2002,4,8.5 - 9,8.5 - 9,
Missouri River Energy Services (MRES),In Service,1.9,Worthington County MN,,Missouri River Energy Services,Missouri River Energy Services,NEG Micon,2,2003,4,8.5 - 9,8.5 - 9,
Moe Wind Farm,In Service,0.5,Wheatland MT,,Two Dot Wind LLC,,Vestas,6,2007,3,6 - 6.5,6 - 6.5,
Mogul Energy,In Service,4,Tehachapi CA,,Mogul Energy,Southern California Edison Co,Mitsubishi,8,0,7,9 - 9.5,9 - 9.5,
Mojave 16/17/18,In Service,66.75,Tehachapi CA,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Mitsubishi,267,1989,7,9 - 9.5,9 - 9.5,
Mojave 16/17/18,In Service,18,Tehachapi CA,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Mitsubishi,30,1989,7,9 - 9.5,9 - 9.5,
Mojave 90 (3 & 5),In Service,46,Tehachapi CA,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Mitsubishi,184,1990,7,9 - 9.5,9 - 9.5,
Mojave 90 (4),In Service,29,Tehachapi CA,,SeaWest,Southern California Edison Co,Mitsubishi,116,1990,7,9 - 9.5,9 - 9.5,
Mojave/Morowind,In Service,35.4,Tehachapi CA,Tomen,Tomen,Southern California Edison Co,Mitsubishi,59,2002,7,9 - 9.5,9 - 9.5,
Montezuma Wind Project,In Service,36.8,Solano CA,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,Siemens,16,2011,4,7 - 7.5,7.5 - 8,
Montezuma Winds II,In Service,78.2,Rio Vista CA,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,Vestas,34,2012,4,8 - 8.5,8 - 8.5,
Montfort Wind Farm,In Service,30,Montfort WI,NextEra Energy Resources,NextEra Energy Resources,We Energies/Alliant Energy,GE Energy,20,2001,3,6.5 - 7,7 - 7.5,
Moorhead Freedom,In Service,0.75,28th Street and 15th Avenue North,Moorhead Public Service,,Moorhead Public Service,NEG Micon,1,1999,3,7 - 7.5,7 - 7.5,
Moorhead Zephyr,In Service,0.75,28th Street and 15th Avenue North,Moorhead Public Service,,Moorhead Public Service,NEG Micon,1,1999,3,7 - 7.5,7 - 7.5,
Moraine II,In Service,49.5,Pipestone & Murray Counties MN,Iberdrola Renewables,Iberdrola Renewables,Xcel Energy,GE Energy,33,2009,4,8 - 8.5,8.5 - 9,
Moraine Wind Power Project,In Service,51,Pipestone and Murray Counties MN,PPM Energy Inc,PPM Energy Inc,Xcel Energy,GE Energy,34,2003,5,8 - 8.5,8.5 - 9,
Morning Light,In Service,101.2,Casey IA,MidAmerican Energy,Clipper Windpower Development Company,MidAmerican Energy,Siemens,44,2012,4,8 - 8.5,8.5 - 9,
Moulton Chandler Hills Wind Farm Phase II,In Service,1.98,Near Chandler MN,Great River Energy,EnXco,Great River Energy,Vestas,3,2001,5,8.5 - 9,8.5 - 9,
Mount St. Mary's Abbey,In Service,0.1,Wrentham MA,Mount St. Mary's Abbey,Sustainable Energy Developments,Mount St. Mary's Abbey,,1,2009,1,5 - 5.5,5.5 - 6,
Mount Wachusetts Community College Wind Project,In Service,3.3,Gardner MA,Mount Wachusetts Community College,Mount Wachusetts Community College,Mount Wachusetts Community College,Vestas,2,2011,2,6 - 6.5,6 - 6.5,
Mount Wachusetts Wind Farm,In Service,3,Near Princeton MA,Princeton Municipal Light,CEI - Iberdrola,Princeton Municipal Light,,2,2009,2,6 - 6.5,6 - 6.5,
Mountain Air,In Service,138,Hammett ID,Terna Energy,Terna Energy,Idaho Power,Vestas,60,2012,3,6 - 6.5,6 - 6.5,
Mountain Home,In Service,42,Elmore County ID,John Deere Wind,John Deere Wind,Idaho Power,Suzlon Energy Company,20,2009,3,6.5 - 7,7 - 7.5,
Mountain View Grand,In Service,0.1,Mountain View Grand Resort & Spa NH,Mountain View Grand,Sustainable Energy Developments,Mountain View Grand,Northern Power Systems,1,2009,1,4 - 4.5,4.5 - 5,
Mountain View IV,In Service,49,White Water CA,AES Wind Generation,AES Wind Generation,Southern California Edison Co,Mitsubishi,49,2012,7,9 - 9.5,9 - 9.5,
Mountain View Power Partners I,In Service,44.4,San Gorgonio CA,MDU Resources,SeaWest,L.A. Department of Water Resources,Mitsubishi,74,2001,4,8 - 8.5,8 - 8.5,
Mountain View Power Partners II,In Service,22.2,San Gorgonio CA,MDU Resources,SeaWest,L.A. Department of Water Resources,Mitsubishi,37,2001,4,8 - 8.5,8 - 8.5,
Mountain View Power Partners III,In Service,22.44,San Gorgonio CA,PPM Energy Inc,PPM Energy Inc,San Diego Gas & Electric,Vestas,34,2003,4,8 - 8.5,8 - 8.5,
Mountain Wind I,In Service,60.9,WY,Edison Mission Group,Edison Mission Group,PacifiCorp,Suzlon Energy Company,29,2008,4,8 - 8.5,8.5 - 9,
Mountain Wind II,In Service,79.8,WY,Edison Mission Group,Edison Mission Group,PacifiCorp,Suzlon Energy Company,38,2008,4,8 - 8.5,8.5 - 9,
Mountaineer Wind Energy Center,In Service,66,Thomas WV,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,NEG Micon,44,2002,5,5.5 - 6,6 - 6.5,
Mower County Wind Energy Center,In Service,98.9,Mower County MN,NextEra Energy Resources,NextEra Energy Resources,Xcel Energy,Siemens,43,2006,4,8 - 8.5,8.5 - 9,
Mozart,In Service,30,Kent County TX,WKN USA LLC,WKN USA LLC,Merchant (ERCOT),Nordex,12,2012,3,7.5 - 8,7.5 - 8,
Mt Peak Utility,In Service,0.1,Midlothian TX,Mnt Peak Utility,,Mnt Peak Utility,Northern Power Systems,1,2010,1,7 - 7.5,7.5 - 8,
Munnsville,In Service,34.5,Near Munnsville NY,Airtricity,Airtricity,,GE Energy,23,2007,2,6 - 6.5,6 - 6.5,
Noble Wethersfield,In Service,126,NY,Noble Environmental Power,Noble Environmental Power,,GE Energy,84,2009,3,6.5 - 7,7 - 7.5,
Murray Various,In Service,10,MN,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,Suzlon Energy Company,8,2005,5,8.5 - 9,8.5 - 9,
Musselshell I,In Service,10,Ryegate MT,Goldwind,Volkswind USA,NorthWestern Energy,Goldwind,7,2012,3,6 - 6.5,6 - 6.5,
Mustang Hills (Alta VI),In Service,150,Tehachapi Pass CA,Terra-Gen Power,Terra-Gen Power,Southern California Edison Co,Vestas,50,2012,5,7.5 - 8,7.5 - 8,
NCCI Gardner Dept of Correction,In Service,3.3,Westminster MA,Department of Corrections - Division of Capital Asset Management for the Commonwealth of MA,Department of Corrections - Division of Capital Asset Management for the Commonwealth of MA,Distributed generation - net metered,Vestas,2,2011,3,6 - 6.5,6 - 6.5,
NREL Research,In Service,1.5,South of Boulder CO,,National Renewable Energy Laboratory,,GE Energy,1,2009,3,6 - 6.5,6 - 6.5,
NREL Research,In Service,2.3,South of Boulder CO,,National Renewable Energy Laboratory,,Siemens,1,2009,3,6 - 6.5,6 - 6.5,
Nantucket School,In Service,0.1,Nantucket MA,Nantucket School,,Nantucket School,Northern Power Systems,1,2010,4,7 - 7.5,7.5 - 8,
Nature's Classroom Wind Turbine,In Service,0.1,Charlton MA,Nature's Classroom,,Nature's Classroom,Northern Power Systems,1,2009,1,5 - 5.5,5.5 - 6,
NedPower Mount Storm II,In Service,100,Grant County WV,Shell Wind Energy/Dominion Energy,NedPower/Shell Wind Energy/Dominion Energy,Dominion Energy,Gamesa,50,2008,4,4.5 - 5,5 - 5.5,
NedPower Mount Storm,In Service,164,Grant County WV,Shell Wind Energy/Dominion Energy,NedPower/Shell Wind Energy/Dominion Energy,Dominion Energy,Gamesa,82,2008,4,4.5 - 5,5 - 5.5,
Neppel Wind Power Project,In Service,1.5,Armstrong IA,,Alliant Energy,Alliant/IES Utilities,Vestas,1,2004,4,7.5 - 8,8 - 8.5,
Nestle Waters,In Service,3,Cabazon CA,Foundation Windpower,Foundation Windpower,Nestle Waters,GE Energy,2,2012,5,8 - 8.5,8 - 8.5,
Nevada High School,In Service,0.5,NV - Story County IA,Nevada High School,Minnesota Windpower,Alliant/IES Utilities,WindWorld,2,1998,4,7 - 7.5,7 - 7.5,
New England Tech Wind Turbine,In Service,0.1,Warwick RI,New England Institute of Technology,,New England Institute of Technology,,1,2009,2,5 - 5.5,5.5 - 6,
New Harvest,In Service,100,Schleswig IA,Iberdrola Renewables,Iberdrola Renewables,ComEd and Ameren Illinois,Gamesa,50,2012,4,8 - 8.5,8.5 - 9,
New Mexico Wind Energy Center,In Service,204,Quay & DeBaca Counties NM,NextEra Energy Resources,NextEra Energy Resources,Public Service New Mexico,GE Energy,136,2003,3,7 - 7.5,7.5 - 8,
Nine Canyon III,In Service,32.2,,Energy Northwest,Energy Northwest/RES Americas,Energy Northwest,Siemens,14,2008,3,5 - 5.5,5 - 5.5,
Nine Canyon Wind Farm,In Service,48.1,Benton County,Energy Northwest,Energy Northwest,Energy Northwest,Bonus,37,2002,3,5 - 5.5,5 - 5.5,
Nine Canyon Wind Farm Phase II,In Service,15.6,Benton County,Energy Northwest,Energy Northwest,Energy Northwest,Bonus,12,2003,3,5 - 5.5,5 - 5.5,
No Fossil Fuel - Kingston,In Service,6,Kingston MA,No Fossil Fuel LLC,No Fossil Fuel LLC,Net-metered,Gamesa,3,2012,2,6 - 6.5,6 - 6.5,
Noble Altona Wind Park,In Service,97.5,Clinton County NY,Noble Environmental Power,Noble Environmental Power,,GE Energy,65,2009,3,6.5 - 7,7 - 7.5,
Noble Bellmont,Under Construction,21,Franklin County NY,Noble Environmental Power,Noble Environmental Power,,GE Energy,14,0,4,6 - 6.5,6.5 - 7,
Noble Bliss Windpark,In Service,100.5,WY County NY,Noble Environmental Power,Noble Environmental Power,,GE Energy,67,2008,3,6.5 - 7,7 - 7.5,
Noble Chateaugay,In Service,106.5,Franklin County NY,Noble Environmental Power,Noble Environmental Power,,GE Energy,71,2009,3,6.5 - 7,7 - 7.5,
Noble Clinton Windpark,In Service,100.5,Clinton County NY,,Noble Environmental Power,,GE Energy,67,2008,2,6.5 - 7,7 - 7.5,
Noble Ellenburg Windpark,In Service,81,Clinton County NY,Noble Environmental Power,Noble Environmental Power,,,54,2008,3,7 - 7.5,7 - 7.5,
Nobles,In Service,2.1,Brewster MN,Nobles Cooperative Electric,Nobles Cooperative Electric,N/A,Suzlon Energy Company,1,2008,4,8 - 8.5,8.5 - 9,
Nobles Wind Farm II,In Service,201,Nobles County MN,Xcel Energy,EnXco,Xcel Energy,GE Energy,134,2010,4,8.5 - 9,8.5 - 9,
North Allegheny,In Service,70,Juniata Township PA,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,FirstEnergy,Gamesa,35,2009,4,5.5 - 6,6 - 6.5,
North Dakota Wind I,In Service,40.5,Edgeley/Kulm ND,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,GE Energy,27,2003,5,8.5 - 9,9 - 9.5,
North Dakota Wind II,In Service,21,Edgeley/Kulm ND,NextEra Energy Resources,NextEra Energy Resources,Otter Tail Power Coop.,GE Energy,14,2003,5,8.5 - 9,9 - 9.5,
North Newton School Corp,In Service,0.9,Morocco IN,North Newton School Corp,Performance Services,Net-metered,PowerWind,1,2012,3,6.5 - 7,7 - 7.5,
North Shaokatan Wind Farm,In Service,11.88,Lincoln County MN,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Vestas,18,2000,5,8.5 - 9,9 - 9.5,
North Sky River,In Service,160,Tehachapi CA,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,GE Energy,100,2012,3,7 - 7.5,7.5 - 8,
Northern Colorado Wind Energy Center (GE),In Service,22.5,Logan County CO,NextEra Energy,NextEra Energy,Xcel Energy,GE Energy,15,2009,5,8 - 8.5,8 - 8.5,
Northern Colorado Wind Energy Center (Siemens),In Service,151.8,Logan County CO,NextEra Energy,NextEra Energy,Xcel Energy,Siemens,66,2009,5,8 - 8.5,8 - 8.5,
Northwestern School Corp,In Service,0.9,Kokomo IN,Northwestern School Corp,Performance Services,Net-metered,PowerWind,1,2012,3,6.5 - 7,7 - 7.5,
Notrees 1A (Vestas),In Service,90.75,Ector and Winkler Counties TX,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,Vestas,55,2009,2,7.5 - 8,8 - 8.5,
Notrees 1B (GE Energy),In Service,60,TX,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,GE Energy,40,2009,2,7 - 7.5,7 - 7.5,
Notrees 1C (Vestas),In Service,1.87,TX,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,Vestas,1,2009,2,7 - 7.5,7 - 7.5,
Notus Falmouth Technology Park,In Service,1.65,East Falmouth MA,Notus Clean Energy,Notus Clean Energy,,Vestas,1,2010,3,6 - 6.5,6.5 - 7,
OU Spirit Wind Farm,In Service,101,Woodward County OK,CPV Renewable Energy,CPV Renewable Energy Company,Oklahoma Gas & Electric,Siemens,44,2009,4,8 - 8.5,8.5 - 9,
Oak Creek - Phase 2A,In Service,1.6,Tehachapi CA,Oak Creek Energy Systems,M&N Wind Power/Oak Creek Energy Systems,Southern California Edison Co,NEG Micon,2,1999,7,9 - 9.5,9 - 9.5,
Oak Creek Energy Systems,In Service,3.46,Tehachapi CA,Oak Creek Energy Systems,Oak Creek Energy Systems,Southern California Edison Co,Micon,36,0,7,9 - 9.5,9 - 9.5,
Oak Creek Energy Systems,In Service,1.35,Tehachapi CA,Oak Creek Energy Systems,Oak Creek Energy Systems,Southern California Edison Co,NEG Micon,1,2002,7,9 - 9.5,9 - 9.5,
Oak Creek Energy Systems,In Service,0.8,Tehachapi CA,Oak Creek Energy Systems,Oak Creek Energy Systems,Southern California Edison Co,NEG Micon,1,2002,7,9 - 9.5,9 - 9.5,
Oak Creek Phase I,In Service,4.2,Tehachapi CA,Nichimen America/Oak Creek Energy Systems,M&N Wind Power/Oak Creek Energy Systems,Southern California Edison Co,NEG Micon,7,1997,7,9 - 9.5,9 - 9.5,
Oak Creek Wind Power Phase 2,In Service,23.1,Tehachapi CA,Caithness,M&N Wind Power/Oak Creek Energy Systems,Southern California Edison Co,NEG Micon,33,1999,7,9 - 9.5,9 - 9.5,
Oak Glen Wind Project,In Service,43.2,Blooming Prairie MN,Minnesota Municipal Power Authority,Avant Energy,Minnesota Municipal Power Authority,Vestas,24,2011,4,7.5 - 8,8 - 8.5,
Oasis Power Partners,In Service,60,Tehachapi CA,EnXco,EnXco,San Diego Gas & Electric,Mitsubishi,60,2004,7,9 - 9.5,9 - 9.5,
Ocotillo,In Service,58.5,Big Spring TX,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,Suzlon Energy Company,28,2008,4,8 - 8.5,8.5 - 9,
Ocotillo Wind I,In Service,227.78,Ocotillo CA,Pattern Energy,Pattern Energy,San Diego Gas & Electric,Siemens,96,2012,6,6.5 - 7,6.5 - 7,
Ocotillo Wind I Expansion,Under Construction,42.66,Ocotillo CA,Pattern Energy,Pattern Energy,San Diego Gas & Electric,Siemens,18,0,5,6.5 - 7,6.5 - 7,
Octotillo Wind Farm,In Service,58.8,Howard County TX,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,Suzlon Energy Company,28,2008,4,8 - 8.5,8.5 - 9,
Odin,In Service,21,MN,Edison Mission Group/Rahn Group,Edison Mission Group/Rahn Group,Missouri River Energy Services,Suzlon Energy Company,10,2008,4,7.5 - 8,8 - 8.5,
Peetz Table Wind Farm,In Service,29.7,Logan County CO,Caithness,EnXco,Xcel Energy,NEG Micon,33,2001,5,7.5 - 8,8 - 8.5,
Oklahoma Wind Energy Center - A,In Service,51,Woodward OK,NextEra Energy Resources,NextEra Energy Resources,Oklahoma Muncipal Power Authority,GE Energy,34,2003,4,8 - 8.5,8.5 - 9,
Oklahoma Wind Energy Center - B,In Service,51,Woodward OK,NextEra Energy Resources,NextEra Energy Resources,Oklahoma Gas & Electric,GE Energy,34,2003,5,8 - 8.5,8.5 - 9,
Oliver II,In Service,48,ND,NextEra Energy Resources,NextEra Energy Resources,Minnesota Power,GE Energy,32,2007,5,8.5 - 9,8.5 - 9,
Oliver Wind Energy Center,In Service,50.6,Oliver County ND,NextEra Energy Resources,NextEra Energy Resources,Minnesota Power,Siemens,22,2006,5,8.5 - 9,8.5 - 9,
Olsen Wind Farm,In Service,1.5,Near Ihlen MN,Olsens,Olsens with Dan Juhl,Xcel Energy,NEG Micon,2,2001,4,8 - 8.5,8.5 - 9,
Omaha Wind Project,In Service,0.66,Near Omaha NE,Omaha Public Power District,Omaha Public Power District,Omaha Public Power District,Vestas,1,2001,2,6.5 - 7,7 - 7.5,
Oregon Trail Wind Park,In Service,13.5,Twin Falls County ID,Exergy,Exergy,Idaho Power / Reunion Power,GE Energy,9,2010,3,6 - 6.5,6.5 - 7,
Osage Municipal Utilities Wind,In Service,1.5,West of Osage IA,Osage Municipal Utilities,Osage Municipal Utilities,Osage Municipal Utilities,GE Energy,1,2009,4,7 - 7.5,7.5 - 8,
Pine Ridge Job Corp,In Service,0.1,Pine Ridge Job Corp,Pine Ridge Job Corp,,Omaha Public Power District,GE Energy,1,2010,3,7.5 - 8,8 - 8.5,
Other World Computing,In Service,1,Woodstock IL,Other World Computing,Other World Computing,Other World Computing,Vestas,0.5,2009,3,6.5 - 7,7 - 7.5,
PaTu Wind Farm,In Service,9,Sherman County OR,,Oregon Trail Wind Farm,,GE Energy,6,2010,4,7 - 7.5,7 - 7.5,
Pacific Crest,In Service,46.86,Tehachapi CA,Caithness,NextEra Energy Resources,Southern California Edison Co,Vestas,71,1999,7,9 - 9.5,9 - 9.5,
Pacific West I,In Service,2.1,San Gorgonio CA,PacifiCorp,SeaWest,Southern California Edison/PacifiCorp,NEG Micon,3,1999,4,8 - 8.5,8 - 8.5,
Painted Hills B&C,In Service,15.3,San Gorgonio CA,,Zond Systems,Southern California Edison Co,Vestas,170,0,4,8 - 8.5,8 - 8.5,
Painted Hills B&C,In Service,3.96,San Gorgonio CA,,Zond Systems,Southern California Edison Co,Vestas,61,0,4,8 - 8.5,8 - 8.5,
Palouse Wind,In Service,104.4,Naff Ridge,First Wind,First Wind,Avista,Vestas,35,2012,3,6 - 6.5,6.5 - 7,
Panther Creek,Under Construction,150,Pike County IL,Affinity Wind/Suzlon Energy Limited,Surity Wind,,Suzlon Energy Company,75,0,4,6 - 6.5,6.5 - 7,
Panther Creek I,In Service,142.5,TX,E.On Climate & Renewables,E.On Climate & Renewables,,GE Energy,95,2008,4,8 - 8.5,8.5 - 9,
Panther Creek II,In Service,115.5,TX,E.On Climate & Renewables,E.On Climate & Renewables,N/a,GE Energy,77,2009,4,8 - 8.5,8.5 - 9,
Panther Creek III,In Service,199.5,TX,E.On Climate & Renewables,E.On Climate & Renewables,,GE Energy,133,2009,2,7 - 7.5,7 - 7.5,
Papalote Creek II,In Service,200.1,30 miles north of Corpus Christi in San Patricio County TX,E.ON Climate & Renewables North America,E.ON Climate & Renewables North America,Lower Colorado River Authority,Siemens,87,2010,2,7 - 7.5,7 - 7.5,
Papalote Creek,In Service,179.85,San Patricio County TX,E.On Climate & Renewables,E.On Climate & Renewables,CPS San Antonio,Vestas,109,2009,2,7 - 7.5,7.5 - 8,
Patriot,In Service,4.5,Freedom ME,,,,GE Energy,3,2008,2,6 - 6.5,6 - 6.5,
Patterson Pass,In Service,21.84,Altamont Pass CA,International Wind Companies,International Wind Companies,Pacific Gas & Electric Co,Nordtank,336,0,4,6.5 - 7,6.5 - 7,
Patton Wind Farm,In Service,30,Patton PA,EverPower,EverPower,Merchant,Gamesa,15,2012,3,5.5 - 6,6 - 6.5,
Paynes Ferry Wind Farm,In Service,21,Twin Falls County ID,Exergy,Exergy,Idaho Power,GE Energy,14,2011,2,5.5 - 6,6 - 6.5,
