Department,Name
BOR,Rockport Lake
BOR,Pathfinder Reservoir
BOR,Phillips Reservoir
BOR,Pilot Butte Reservoir
BOR,Pineview Reservoir
BOR,Pishkun Reservoir
BOR,Platoro Reservoir
BOR,Ruedi Reservoir
BOR,Turquoise Lake
BOR,Potholes Reservoir
BOR,Prineville Reservoir
BOR,Pueblo Reservoir
BOR,Ridgway Reservoir
BOR,Rifle Gap Reservoir
BOR,Sheridan Lake
BOR,Rye Patch Reservoir
BOR,Saguaro Lake
BOR,San Luis Reservoir
BOR,Scofield Reservoir
BOR,Sherman Reservoir
BOR,Seminoe Reservoir
BOR,Shadehill Reservoir
BOR,Shadow Mountain Lake
BOR,Targhee National Forest
BOR,Strawberry Reservoir
BOR,Sumner Lake
BOR,Boca Reservoir
BOR,Theodore Roosevelt Lake
BOR,Thief Valley Reservoir
BOR,Tom Steed Lake
BOR,Twin Buttes Reservoir
BOR,Two Rivers Reservoir
BOR,Unity Reservoir
BOR,Vallecito Reservoir
BOR,Vega Reservoir
FS,Fandango Wilderness Study Area
BOR,Turquoise Lake
BOR,Waconda Lake
BIA,Penobscot Indian Reservation
BOR,Warm Springs Reservoir
BOR,Webster Reservoir
BOR,Wickiup Reservoir
BOR,Willow Creek Reservoir
BOR,Whiskeytown Lake
BIA,Picuris Indian Reservation
BOR,Clair Engle Lake
BOR,Clair Engle Lake
BOR,Lewiston Lake
BOR,Prosser Creek Reservoir
BOR,Shasta Lake
BOR,Stampede Reservoir
BOR,Clear Lake
BOR,Foss Reservoir
BIA,Chemehuevi Indian Reservation
BOR,Pathfinder Reservoir
BOR,Belle Fourche Reservoir
OTHER,Central Intelligence Agency
DOD,Harvey Point Defense Testing Activity
DOD,Pentagon
OTHER,Argonne National Laboratory
OTHER,Arnold Engineering Development Center
OTHER,Brookhaven National Laboratory
