Bus Name,Number of Lines,Total Capacity (kV)
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
Empire District Electric Co (The),1,161
Sho ME Power Electric Coop,1,161
Sho ME Power Electric Coop,1,161
Empire District Electric Co (The),1,161
Empire District Electric Co (The),1,161
Undetermined Company,1,161
Empire District Electric Co (The),1,161
Sho ME Power Electric Coop,1,161
Sho ME Power Electric Coop,1,161
Empire District Electric Co (The),1,161
PacifiCorp,1,345
PacifiCorp,1,138
Idaho Power Co,1,138
PacifiCorp,1,161
PacifiCorp,1,138
PacifiCorp,3,414
Idaho Power Co,1,138
PacifiCorp,1,138
PacifiCorp,2,276
Bonneville Power Administration,1,115
Idaho Power Co,1,138
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,345
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,2,92
PacifiCorp,2,92
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,345
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,35
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,-99
PacifiCorp,1,-99
Idaho Power Co,1,69
PacifiCorp,1,-99
Undetermined Company,1,4
Western Area Power Administration,1,345
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
ITC Midwest LLC,1,69
Bridger Valley Electric Association Inc,1,69
PacifiCorp,1,69
PacifiCorp,1,46
Western Area Power Administration,1,35
Zephyr Power Transmission LLC,1,500
PacifiCorp,1,35
Jade Energy Associates,1,500
Hot Springs Rural Electric Association Inc,1,35
PacifiCorp,1,46
PacifiCorp,1,46
ITC Midwest LLC,1,35
Hot Springs Rural Electric Association Inc,1,69
Hot Springs Rural Electric Association Inc,1,35
PacifiCorp,1,69
PacifiCorp,1,35
PacifiCorp,1,35
PacifiCorp,1,35
PacifiCorp,1,35
PacifiCorp,1,69
Undetermined Company,1,4
PacifiCorp,1,138
PacifiCorp,1,46
Western Area Power Administration,1,345
Bridger Valley Electric Association Inc,1,69
PacifiCorp,1,345
PacifiCorp,1,-99
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,2,1000
PacifiCorp,1,46
PacifiCorp,1,345
PacifiCorp,1,138
PacifiCorp,2,460
PacifiCorp,1,46
PacifiCorp,1,345
Idaho Power Co,1,69
PacifiCorp,1,35
PacifiCorp,1,138
PacifiCorp,1,115
Western Area Power Administration,1,230
Western Area Power Administration,1,230
PacifiCorp,1,46
PacifiCorp,1,138
Bonneville Power Administration,1,138
PacifiCorp,1,138
PacifiCorp,1,138
Western Area Power Administration,1,115
PacifiCorp,1,115
PacifiCorp,1,345
PacifiCorp,1,345
Western Area Power Administration,1,115
PacifiCorp,1,138
Idaho Power Co,1,138
Bonneville Power Administration,1,138
PacifiCorp,1,138
PacifiCorp,1,138
PacifiCorp,1,138
Western Area Power Administration,1,115
PacifiCorp,1,345
PacifiCorp,1,46
PacifiCorp,2,690
Western Area Power Administration,1,345
PacifiCorp,2,690
PacifiCorp,2,92
PacifiCorp,1,69
PacifiCorp,2,92
PacifiCorp,1,46
PacifiCorp,1,69
Zephyr Power Transmission LLC,1,500
Jade Energy Associates,1,500
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
